Entry	Gene ontology IDs
Q9LP77	GO:0004672; GO:0005524; GO:0005774; GO:0005886; GO:0009506; GO:0016021
Q54CU7	GO:0005737; GO:0006888
Q9SMN1	GO:0005739; GO:0005747; GO:0005774; GO:0009507; GO:0009651; GO:0009737; GO:0009853; GO:0010228; GO:0031966; GO:0045271; GO:0046872
P27061	GO:0003993
Q9SA78	GO:0000139; GO:0005198; GO:0005774; GO:0006888; GO:0006890; GO:0006891; GO:0015031; GO:0030126
Q9LJX0	GO:0005524; GO:0005886; GO:0008361; GO:0009637; GO:0009639; GO:0009640; GO:0009733; GO:0009734; GO:0009926; GO:0009958; GO:0010218; GO:0010329; GO:0010540; GO:0010541; GO:0016021; GO:0042626; GO:0043481; GO:0048364; GO:0048443; GO:0048527; GO:0060918; GO:0090691
Q9FNX5	GO:0000266; GO:0003924; GO:0005525; GO:0005739; GO:0005773; GO:0005774; GO:0005874; GO:0005886; GO:0007049; GO:0008017; GO:0009506; GO:0009524; GO:0016192; GO:0046686; GO:0050832; GO:0051301
Q9LJD8	GO:0004674; GO:0004702; GO:0005524; GO:0005730; GO:0005815; GO:0005829; GO:0005886; GO:0007049; GO:0045995; GO:0046777; GO:0051301; GO:0051302; GO:0051510; GO:0061387
P43643	GO:0003746; GO:0003924; GO:0005525; GO:0005737
P92997	GO:0005618; GO:0030145; GO:0045735; GO:0048046
Q9LV66	GO:0005829
P46248	GO:0004069; GO:0006103; GO:0006531; GO:0006536; GO:0009058; GO:0009501; GO:0009507; GO:0030170; GO:0080130
Q9FIJ2	GO:0005739; GO:0005747; GO:0008137
Q9FMX2	GO:0003677; GO:0003700; GO:0005634; GO:0006351; GO:0006355
Q6DBP4	GO:0005576; GO:0009505; GO:0052793; GO:0071555
O48916	GO:0000038; GO:0005506; GO:0005783; GO:0005789; GO:0006633; GO:0016021; GO:0016491
Q8LPR5	GO:0003677; GO:0003700; GO:0005634; GO:0006351; GO:0006355; GO:0009793; GO:0009965; GO:0030154; GO:0045962; GO:0048366
P28752	GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017
Q9SRT2	GO:0003677; GO:0003700; GO:0005634; GO:0006351; GO:0006355; GO:0046983
Q9LVM0	GO:0004672; GO:0005524; GO:0005886; GO:0016021
