Solyc02g091560.3	GO:0003677
Solyc11g066720.2	GO:0005488
Solyc01g110920.3	GO:0004869
Solyc02g067080.3	GO:0016020; GO:0055114
Solyc10g083450.2	GO:0000786; GO:0003677
Solyc07g007790.3	GO:0003677; GO:0006260
Solyc01g065980.3	GO:0005524
Solyc08g065430.3	GO:0003723
Solyc11g069940.1	GO:0003824
Solyc02g079930.3	GO:0003677; GO:0005634; GO:0006355; GO:0009725
Solyc07g063420.3	GO:0005215; GO:0006810; GO:0016020
Solyc08g082010.3	GO:0003677
Solyc09g011140.3	GO:0005618; GO:0030599; GO:0042545
Solyc03g071590.3	GO:0016491; GO:0055114
Solyc04g006970.3	GO:0000287; GO:0003723; GO:0005524; GO:0006432
Solyc01g014375.1	GO:0005509
Solyc04g045340.3	GO:0046872
Solyc01g006825.1	GO:0003676
Solyc02g091890.2	GO:0008270
Solyc02g065470.1	GO:0003677
Solyc10g074790.2	GO:0005516
Solyc02g084400.3	GO:0005737; GO:0006559; GO:0016841
Solyc01g104320.3	GO:0006508; GO:0008234
Solyc12g009520.2	GO:0008495; GO:0016021; GO:0048034
Solyc03g078640.1	GO:0005524
Solyc07g008210.3	GO:0005524; GO:0009507
Solyc04g077510.3	GO:0003700; GO:0005634
Solyc09g075210.3	GO:0043531
Solyc02g063510.1	GO:0003677
Solyc09g059650.3	GO:0005525
Solyc03g083360.3	GO:0008289
Solyc08g082920.3	GO:0003700; GO:0006355; GO:0008270; GO:0043565
Solyc06g062920.3	GO:0003700; GO:0006355
Solyc01g110000.3	GO:0005515
Solyc05g025810.3	GO:0003723
Solyc10g012170.3	GO:0003824
Solyc02g092530.3	GO:0005515
Solyc09g010380.3	GO:0008152; GO:0016758
Solyc07g063165.1	GO:0005515
Solyc10g008540.3	GO:0003676
Solyc02g068200.1	GO:0019069
Solyc01g106330.3	GO:0015992; GO:0046034
Solyc08g041710.3	GO:0005975
Solyc11g011980.3	GO:0016491
Solyc12g044420.1	GO:0004639; GO:0006164
Solyc04g007210.3	GO:0046872
Solyc10g078530.2	GO:0005509
Solyc01g007220.3	GO:0004672; GO:0005524; GO:0006468
Solyc10g008650.2	GO:0005515
Solyc08g077100.3	GO:0004553; GO:0005975
Solyc02g092000.3	GO:0005515
Solyc12g088240.2	GO:0005515
Solyc08g077460.3	GO:0000287
Solyc04g076010.3	GO:0005634
Solyc04g071615.1	GO:0003677
Solyc10g080240.1	GO:0000148; GO:0003843; GO:0006075; GO:0016020
Solyc12g005840.2	GO:0000166
Solyc06g082440.1	GO:0003677; GO:0003899; GO:0006351
Solyc08g065360.3	GO:0003676
Solyc06g084030.3	GO:0003824
Solyc02g071920.3	GO:0004252; GO:0006508
Solyc01g008850.3	GO:0003824
Solyc02g089440.3	GO:0008168
Solyc05g008310.3	GO:0016787
Solyc12g088820.2	GO:0004553; GO:0005975
Solyc01g100360.3	GO:0005524; GO:0009058
Solyc05g024415.1	GO:0003735; GO:0006412; GO:0015935
Solyc07g065980.3	GO:0005515
Solyc01g103920.3	GO:0005515
Solyc01g097470.3	GO:0004349; GO:0006561
Solyc01g108340.3	GO:0007017; GO:0030286
Solyc09g063060.3	GO:0003777; GO:0005524; GO:0007018
Solyc09g098150.3	GO:0031177
Solyc06g073970.2	GO:0015986; GO:0045261; GO:0046933
Solyc01g006820.2	GO:0000166
Solyc02g089930.3	GO:0005507
Solyc03g034400.3	GO:0004674
Solyc02g084390.3	GO:0003824
Solyc08g079280.3	GO:0000165; GO:0000977; GO:0045944
