Entry	Gene ontology IDs
Q940Q8	GO:0000139; GO:0005768; GO:0005794; GO:0005802; GO:0006486; GO:0009834; GO:0010417; GO:0016021; GO:0042546; GO:0045492; GO:0047517; GO:0071555; GO:0080116
Q7XA06	GO:0005783; GO:0006869; GO:0008289; GO:0016021; GO:0046872
O64481	GO:0004252; GO:0008236
Q8VWN6	GO:0005975; GO:0047274
Q9S9N9	GO:0005829; GO:0007623; GO:0009409; GO:0009809; GO:0016491; GO:0016616; GO:0016621; GO:0050662
Q9LPR8	GO:0003700; GO:0005634; GO:0006355; GO:0009739; GO:0043565
Q0WUQ1	GO:0005634; GO:0005739; GO:0005829; GO:0051087; GO:0071629
Q8LEE9	GO:0005886; GO:0009834; GO:0031225
Q8VYG0	GO:0004674; GO:0005524; GO:0005886; GO:0016021; GO:0046777
Q681X4	GO:0003700; GO:0005634; GO:0006355; GO:0043565; GO:0046872
Q39119	GO:0000323; GO:0000326; GO:0004175; GO:0004197; GO:0006624; GO:0009611; GO:0009723; GO:0009751; GO:0009753; GO:0010150; GO:0051603
Q9LMG7	GO:0003993; GO:0005576; GO:0005739; GO:0005740; GO:0005768; GO:0005794; GO:0005802; GO:0006109; GO:0006626; GO:0009507; GO:0009941; GO:0030943; GO:0045040; GO:0046872
A7PZL3	GO:0004650; GO:0005975; GO:0016021
A7QEU4	GO:0004601; GO:0005576; GO:0006979; GO:0020037; GO:0042744; GO:0046872
P37707	
Q8RWD0	GO:0003700; GO:0005634; GO:0006355; GO:0008270; GO:0016020
P43296	GO:0000323; GO:0004197; GO:0005615; GO:0005634; GO:0005764; GO:0005773; GO:0006970; GO:0009651; GO:0042742; GO:0051603
Q9FSH9	GO:0004190; GO:0004857; GO:0005615; GO:0043086; GO:0043621
Q9SAG8	GO:0005634; GO:0009416; GO:0009507; GO:0009570
Q94AQ9	GO:0009507; GO:0009658
Q9SGU2	GO:0005737; GO:0007275; GO:0009734; GO:0040008
Q84WS8	GO:0000398; GO:0005689
Q9LFP1	GO:0000149; GO:0005484; GO:0005773; GO:0005774; GO:0005794; GO:0006887; GO:0006906; GO:0009651; GO:0015031; GO:0016021; GO:0030897; GO:0031201; GO:0031902
Q94KT8	GO:0005886; GO:0009505; GO:0009651; GO:0009664; GO:0009825; GO:0009832; GO:0009897; GO:0009930; GO:0010215; GO:0016328; GO:0031225; GO:0046658; GO:0052324
Q8VZJ9	GO:0004674; GO:0005524; GO:0005737; GO:0009555
Q9SU00	GO:0005509; GO:0005737; GO:0009567
Q8GSM7	GO:0047172
Q8H1Z0	GO:0000170; GO:0005506; GO:0005789; GO:0005886; GO:0006723; GO:0008610; GO:0009924; GO:0010025; GO:0016020; GO:0016021; GO:0042335; GO:0043447; GO:0048235; GO:1990465
O81211	GO:0004601; GO:0005509; GO:0005886; GO:0016021; GO:0016174; GO:0055114
F4I2N7	GO:0001653; GO:0004672; GO:0004674; GO:0005524; GO:0005886; GO:0006979; GO:0009845; GO:0016021; GO:0042802; GO:0045087; GO:0046777
Q56XJ7	
O81301	GO:0005576; GO:0005618; GO:0030599; GO:0042545; GO:0045330; GO:0045490; GO:0046910
P34899	GO:0004372; GO:0005739; GO:0019264; GO:0030170; GO:0035999
Q38890	GO:0005768; GO:0005769; GO:0005794; GO:0005802; GO:0005886; GO:0008810; GO:0009504; GO:0009735; GO:0009826; GO:0016021; GO:0030244; GO:0030245; GO:0042538; GO:0043622; GO:0048367; GO:0071555
Q9LY87	GO:0004842; GO:0005634; GO:0005886; GO:0009690; GO:0009738; GO:0009850; GO:0046872; GO:0080148
Q9FJU9	GO:0005576; GO:0005886; GO:0005975; GO:0006952; GO:0009505; GO:0031225; GO:0042973; GO:0046658; GO:0071555
Q9LDE3	GO:0005634; GO:0005829; GO:0043161
Q9LMM0	GO:0008654; GO:0010143; GO:0016020; GO:0016021; GO:0016791; GO:0090447; GO:0102419
Q9LYP4	GO:0051087
Q8L471	GO:0009744; GO:0009749; GO:0042594; GO:0046872
Q6Z345	GO:0003677; GO:0005634; GO:0006355; GO:0046872
O49432	GO:0004650; GO:0005576; GO:0005618; GO:0008152; GO:0009556; GO:0010584; GO:0071555
Q8VZG2	GO:0002237; GO:0005524; GO:0005739; GO:0005740; GO:0005741; GO:0008219; GO:0009411; GO:0009617; GO:0009626; GO:0009863; GO:0016021; GO:0016887; GO:0042802
O81832	GO:0004674; GO:0005516; GO:0005524; GO:0005886; GO:0006468; GO:0030246; GO:0048544
Q9SRT2	GO:0003700; GO:0005634; GO:0006355; GO:0043565; GO:0046983
P25818	GO:0000326; GO:0005773; GO:0005774; GO:0006833; GO:0009705; GO:0009941; GO:0015204; GO:0015250; GO:0015840; GO:0016021; GO:0042807; GO:0080170
P24805	
O24146	GO:0005524; GO:0009698; GO:0016207
Q9XIE2	GO:0005524; GO:0005739; GO:0005774; GO:0005886; GO:0006855; GO:0009507; GO:0009627; GO:0009737; GO:0009817; GO:0009941; GO:0015086; GO:0015691; GO:0016020; GO:0016021; GO:0016887; GO:0031348; GO:0042344; GO:0042626; GO:0042742; GO:0052544; GO:0055085; GO:0071366
Q9FZJ1	GO:0000139; GO:0006486; GO:0009834; GO:0010417; GO:0016021; GO:0047517; GO:0071555; GO:0080116
Q9SX83	GO:0005774; GO:0006855; GO:0015297; GO:0016021; GO:0042910
O04621	GO:0005794; GO:0016021; GO:0016413
