Entry	Gene ontology IDs
Q93VM8	GO:0005375; GO:0005770; GO:0005773; GO:0005774; GO:0005794; GO:0009506; GO:0009737; GO:0015680; GO:0016021
Q6RYA0	GO:0008152; GO:0009862; GO:0016298; GO:0080031
P14903	
Q0DI31	GO:0005758; GO:0006122; GO:0006123; GO:0009055; GO:0020037; GO:0046872; GO:0070469
Q9SZ11	GO:0005886; GO:0006071; GO:0006629; GO:0008889; GO:0009505; GO:0009932; GO:0010026; GO:0010053; GO:0010442; GO:0031225; GO:0046658; GO:0048765; GO:0052541
Q9LTV6	GO:0005774; GO:0005777; GO:0006631; GO:0008670
Q9LVD9	GO:0005773; GO:0005774; GO:0015238; GO:0015297; GO:0016021
O04351	GO:0003677; GO:0005634; GO:0006351; GO:0045892
Q9SW70	
P42749	GO:0004842; GO:0005524; GO:0005829; GO:0006511; GO:0031625; GO:0061630
Q9ULP9	GO:0005096; GO:0005737; GO:0005886; GO:0030054; GO:0031175; GO:0031594; GO:0043195
B5FZA8	GO:0005634; GO:0005739
Q8H0X6	GO:0004869; GO:0005576; GO:0005783; GO:0005829; GO:0006952; GO:0006972; GO:0006979; GO:0009409; GO:0009414; GO:0050897
O23193	GO:0009507; GO:0045454
